"myeloid_label","PD","PR","PD_minus_PR"
"C1Q/APOE-TAM",0.155952984761947,0.0627540916031965,0.0931988931587503
"cDC2",0.401976242456318,0.350988698712484,0.0509875437438344
"MRC1/CD9-TAM",0.0375107504355305,0.0184830855419091,0.0190276648936214
"S100A8-monocyte",0.0646036856535897,0.0504810619900134,0.0141226236635763
"FCN1-monocyte",0.0535334935791416,0.0540642477726877,-0.000530754193546083
"Perivascular-TAM",0,0.00307692307692308,-0.00307692307692308
"cDC1",0.0724560977940474,0.120491148521839,-0.0480350507277917
"mregDC",0.0235811262781073,0.0869565217391304,-0.0633753954610231
"Inflammatory-TAM",0.190385619041318,0.33571456676316,-0.145328947721842
