"gene","drug","approved","score","interaction_types","sources"
"FLT3","COMPOUND 2C [PMID: 24900538]",FALSE,0.0236303524523584,"inhibitor","GuideToPharmacology"
"FLT3","ENASIDENIB",TRUE,0.0787678415078612,"","CKB-CORE"
"FLT3","MK-2461",FALSE,0.016878823180256,"inhibitor","GuideToPharmacology"
"FLT3","CT-1578",FALSE,0.0590758811308959,"inhibitor","ChEMBL"
"FLT3","AT-9283",FALSE,0.0393839207539306,"inhibitor","ChEMBL"
"FLT3","APG-2575",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","HSP90 INHIBITOR LAM-003",FALSE,0.472607049047167,"","CKB-CORE"
"FLT3","P505-15",FALSE,0.0945214098094334,"","CKB-CORE"
"FLT3","AKN-028",FALSE,0.118151762261792,"inhibitor","GuideToPharmacology"
"FLT3","RG-1530",FALSE,0.00824314620431106,"inhibitor; inhibitor","DTC; ChEMBL; GuideToPharmacology"
"FLT3","BORTEZOMIB",TRUE,0.00274771540143702,"inhibitor","MyCancerGenomeClinicalTrial"
"FLT3","DOMATINOSTAT",FALSE,0.0393839207539306,"","TdgClinicalTrial"
"FLT3","COMPOUND 25AP [PMID: 37796543]",FALSE,0.0262559471692871,"inhibitor","GuideToPharmacology"
"FLT3","ILORASERTIB",FALSE,0.00450101951473493,"inhibitor","DTC; GuideToPharmacology"
"FLT3","TUSPETINIB",FALSE,0.236303524523584,"inhibitor","GuideToPharmacology"
"FLT3","FLT-3 INHIBITOR",FALSE,0.708910573570751,"inhibitor","GuideToPharmacology; CKB-CORE"
"FLT3","CHEMBL:CHEMBL1997335",FALSE,0.00562627439341866,"","DTC"
"FLT3","PACRITINIB",TRUE,0.378085639237734,"inhibitor; inhibitor","ChEMBL; CKB-CORE; CIViC; GuideToPharmacology"
"FLT3","GTP-14564",FALSE,0.177227643392688,"inhibitor","GuideToPharmacology; CKB-CORE"
"FLT3","HESPERADIN",FALSE,0.00590758811308959,"inhibitor","DTC"
"FLT3","TAMATINIB",FALSE,0.00291732746325412,"","DTC"
"FLT3","AS-602868",FALSE,0.118151762261792,"inhibitor","ChEMBL"
"FLT3","TAMATINIB",FALSE,0.236303524523584,"","CKB-CORE"
"FLT3","PALBOCICLIB",TRUE,0.0128892831558318,"","CKB-CORE"
"FLT3","FIMEPINOSTAT",FALSE,0.0363543883882436,"","CKB-CORE"
"FLT3","UNC4203",FALSE,0.0590758811308959,"inhibitor","GuideToPharmacology"
"FLT3","ZOTIRACICLIB",FALSE,0.472607049047167,"","CKB-CORE"
"FLT3","AVAPRITINIB",TRUE,0.118151762261792,"","CKB-CORE"
"FLT3","CLOFARABINE",TRUE,0.0139002073249167,"inhibitor","MyCancerGenomeClinicalTrial"
"FLT3","IPATASERTIB",FALSE,0.0590758811308959,"","CKB-CORE"
"FLT3","FLYSYN",FALSE,0.236303524523584,"inhibitor","ChEMBL"
"FLT3","SELINEXOR",TRUE,0.177227643392688,"","CKB-CORE; CIViC"
"FLT3","CERITINIB",TRUE,0.0181771941941218,"inhibitor","GuideToPharmacology"
