"gene","stat"
"DDI2",2.01254137271355
"IGLV9-49",2.0118498427111
"RIF1",2.0111177759747
"SGCB",2.01066792844434
"TRAV8-3",2.01061964522141
"KIF20B",2.00998622961491
"FARSA",2.00926660149602
"KLRC1",2.00863126745798
"IGLC1",2.00653082324963
"LINC00665",2.00580092238294
"IZUMO4",2.00333844480986
"KIF21A",2.0002090061445
"GSTA1",1.99904316017222
"ZNF224",1.99606371019202
"LTV1",1.99499447440519
"IGHV1-69D",1.99457415901634
"TM7SF2",1.99388246933737
"LRIG1",1.99188317305372
"IGHG4",1.99044727792258
"XXYLT1-AS2",1.98899994253014
"NCBP3",1.98509470449726
"ZNF79",1.9837655764632
"NHS",1.98124292072013
"SAMD9",1.98102321470177
"FAS",1.98083309377406
"ZNF225",1.98058603058728
"PDXDC1",1.9748405227873
"CBLB",1.97174134089035
"APOL2",1.96656065851895
"AC133644.2",1.96625068354746
"TRIM13",1.96531391988265
"AL096865.1",1.96505937229101
"TFDP1",1.96432980828246
"CLPTM1L",1.9632504118495
"LINC02696",1.9627866639218
"PLEC",1.9615004187906
"PDE4D",1.96084565965126
"PAM",1.96019756555786
"GALNT11",1.95798623203619
"TRBV7-3",1.95616696514505
"XPO4",1.95583579782605
"KIAA0232",1.95440044862038
"KIAA0040",1.95092173421437
"DYRK1B",1.95089912732721
"XPC",1.95053519876141
"ITCH",1.94695628532385
"IWS1",1.94594609592736
"ZNF345",1.94573614200163
"RASGRP1",1.94560666535554
"TAC1",1.9455992089717
"ESS2",1.94428968538579
"FZR1",1.94280727670747
"NUP37",1.94268933315194
"MFSD6",1.94171652070302
"NAA25",1.94142616397939
"PHF19",1.94103434025247
"OTUB1",1.9404739463583
"SBF1",1.93935792385649
"FAM241B",1.93851196528631
"SNAPC5",1.93729858152736
"LIMS2",1.93640674744315
"AC099063.4",1.93619120963082
"MFHAS1",1.93593784673543
"GALNT2",1.93585242849315
"ANKS1B",1.93555095356498
"EXOSC7",1.93316546371246
"ZNRF1",1.93264702221838
"RFC1",1.93228819907086
"R3HCC1L",1.93200692784638
"NACC1",1.93085199901588
