"pathway","pval","padj","log2err","ES","NES","size"
"ZHONG_PFC_MAJOR_TYPES_MICROGLIA",7.1392453360383e-66,5.31873777534853e-63,2.11981715699036,-0.636691702767161,-3.32681865582797,422
"DESCARTES_FETAL_CEREBRUM_MICROGLIA",6.10114990843203e-62,2.27267834089093e-59,2.05533974108716,-0.650830468583115,-3.35815439820245,377
"AIZARANI_LIVER_C6_KUPFFER_CELLS_2",1.34872614259543e-59,3.34933658744531e-57,2.01463591374895,-0.741168495856444,-3.61095850523952,222
"HAY_BONE_MARROW_NEUTROPHIL",1.62971619695297e-58,3.03534641682491e-56,1.99397243506636,-0.619190904962799,-3.24456065971787,429
"DESCARTES_FETAL_INTESTINE_MYELOID_CELLS",7.12762909083306e-57,1.06201673453413e-54,1.96783798376574,-0.755984662714431,-3.62833229095699,200
"FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA",8.37277057260998e-56,1.03961901276574e-53,1.94667782059298,-0.644365403493389,-3.31762073657253,356
"AIZARANI_LIVER_C2_KUPFFER_CELLS_1",1.32181083238088e-55,1.40678438589108e-53,1.94667782059298,-0.752152844163727,-3.59832298429832,195
"TRAVAGLINI_LUNG_CLASSICAL_MONOCYTE_CELL",1.94395598239951e-53,1.81030900860955e-51,1.90908326145145,-0.689872453689125,-3.42932994402591,262
"GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL",3.86972336990111e-52,3.20327101175148e-50,1.88177021915558,-0.652663455097027,-3.30861356098596,313
"DESCARTES_FETAL_ADRENAL_MYELOID_CELLS",3.0783344419891e-50,2.29335915928188e-48,1.8484619195312,-0.773171227461509,-3.61667562794784,162
"CUI_DEVELOPING_HEART_C8_MACROPHAGE",4.00252269141683e-50,2.49920794669754e-48,1.8484619195312,-0.671677459836298,-3.35541108640677,271
"HU_FETAL_RETINA_MICROGLIA",4.02556984702959e-50,2.49920794669754e-48,1.8484619195312,-0.615455107949057,-3.17619202134988,370
"DESCARTES_FETAL_PANCREAS_MYELOID_CELLS",1.84288125137999e-49,1.05611271713699e-47,1.83158063515779,-0.724339675701194,-3.48577679838699,202
"DESCARTES_FETAL_LIVER_MYELOID_CELLS",1.00765462973142e-48,5.00468466099938e-47,1.82023946954892,-0.754923407959841,-3.55487309312771,168
"DESCARTES_FETAL_LUNG_MYELOID_CELLS",9.89776235331278e-49,5.00468466099938e-47,1.82023946954892,-0.773284369807257,-3.59189507109007,154
"SU_HO_CONV_CENT_CHONDROSARCOMA_LEUKOCYTE_C0_M1_MACROPHAGE",1.01927000149102e-46,4.74597594444255e-45,1.77997642918922,-0.668797427532754,-3.30817855056641,256
"SU_HO_CONV_CENT_CHONDROSARCOMA_C6_LEUKOCYTE",8.62224980187564e-46,3.7785741778808e-44,1.7624392879181,-0.631383873276283,-3.20103264199793,312
"RUBENSTEIN_SKELETAL_MUSCLE_MYELOID_CELLS",1.64586681759585e-41,6.81205988393839e-40,1.67817787124255,-0.592559360187894,-3.02360402503631,340
"DESCARTES_FETAL_PLACENTA_MYELOID_CELLS",5.50447331327551e-41,2.1583329570475e-39,1.66579262543297,-0.76918943430537,-3.49820508044808,134
