"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCL8",44.5334412704127,-2.78099392790078,0.583958288606243,-4.76231604578863,1.91383633351752e-06,0.0248569062997255
"CCND1",101.922864407093,2.72616965222941,0.679165158198097,4.01400104131115,5.96980826632304e-05,0.387679348815018
"RHOH",44.1984896411032,2.68403687522887,0.709395298105397,3.78355605456817,0.000154603485235928,0.66933002208141
"TNFAIP6",166.042914942648,1.55804140397733,0.42228747317767,3.68952787600641,0.000224670610391943,0.706570872798474
"FAS",54.776255338565,1.98237151267683,0.549906682411355,3.6049234826245,0.00031224491171081,0.706570872798474
"SPIC",15.0997987327572,-5.45693101708807,1.51860500893867,-3.59338404981413,0.000326410936001759,0.706570872798474
"ITM2A",14.0436242414357,5.60154516002045,1.57989485478555,3.54551769255606,0.000391842681825516,0.727036107364257
"CRIP1",484.712929064858,1.91058123228044,0.54986852133838,3.47461467266773,0.000511587648490589,0.830562547324471
"EHF",18.0524006333986,3.88660577379506,1.130116337702,3.43912006590237,0.000583608335091073,0.842211672906985
"HLA-DRB5",1227.16833526349,-2.95583256089542,0.870709202865175,-3.39474137997955,0.000686934563002867,0.846371812550821
"VIPR2",5.20259940626394,6.87568482150886,2.03238463887769,3.38306277757823,0.000716822446724594,0.846371812550821
"VCAM1",71.5037332662949,-3.8907377252785,1.18649424403366,-3.279188032174,0.00104106244491958,0.999860282006642
"HPD",7.10707144390017,4.87948988440624,1.49643589812637,3.26074099833855,0.00111121491206977,0.999860282006642
"AL138916.1",4.38228699757522,6.64395744449792,2.04898506565345,3.24256020986618,0.00118460914784576,0.999860282006642
"P3H2",15.6879521308129,2.74381962731652,0.847385098203948,3.23798428026656,0.00120377442139974,0.999860282006642
"GATD3A",14.2187121150111,2.94065238743523,0.913775842222047,3.21813321337582,0.00129027877225981,0.999860282006642
"MERTK",55.7550003663219,-1.59005871824187,0.503249213756549,-3.15958510172869,0.00157993951612265,0.999860282006642
"PLPP3",14.5941451956579,-2.78531432820488,0.881786072816414,-3.15871889347109,0.00158464257733281,0.999860282006642
"RAB42",10.9518627305423,-3.30128220569446,1.0460641217543,-3.15590807201955,0.00159999279166195,0.999860282006642
"TNFSF18",9.05827629345448,-3.13954277809949,1.01277253562167,-3.09994857450627,0.00193554244878584,0.999860282006642
"ADIRF",9.51531618427792,5.39710961701474,1.75901864201326,3.06825038013102,0.00215316130247916,0.999860282006642
"APCS",4.2419245205094,6.58079419508939,2.1571205971104,3.0507307768999,0.00228285169102621,0.999860282006642
"ADAM19",27.1702568005422,3.18668357243904,1.06427529608029,2.99422864006668,0.00275139678319241,0.999860282006642
"DNAAF1",74.3189601076243,2.87778943197721,0.961685449455737,2.99244356208767,0.00276753833130818,0.999860282006642
"LAX1",4.10797711895472,6.12617948489976,2.06584076016344,2.96546549135524,0.00302225249761367,0.999860282006642
"ELOVL7",36.5462452857476,2.05766144174222,0.700165271172639,2.93882248443435,0.00329461713525247,0.999860282006642
