"pathway","pval","padj","log2err","ES","NES","size"
"GSE29618_MONOCYTE_VS_MDC_UP",2.18207231576293e-24,3.1827083348485e-22,1.27903397725049,-0.597199311758319,-2.84270888104876,193
"GSE29618_BCELL_VS_MONOCYTE_DN",4.74643064509833e-24,6.73070234534083e-22,1.27091304449619,-0.594109219205118,-2.83688238171272,197
"GSE6259_33D1_POS_DC_VS_CD4_TCELL_DN",5.9059924584732e-24,8.14867337851505e-22,1.27091304449619,-0.628172808925879,-2.92290192858976,161
"GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN",1.43297361644144e-23,1.92508692419304e-21,1.25451347943706,-0.594156783437841,-2.82590900295058,191
"GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP",1.65258730443848e-23,2.16319440747653e-21,1.25451347943706,-0.594493075873522,-2.81777392217181,185
"GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN",1.45903382757041e-22,1.86209192243674e-20,1.22950405660873,-0.591177504514916,-2.79808049987978,183
"GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN",4.23461528801277e-22,5.27261245007444e-20,1.22105375677186,-0.619742861794967,-2.86761976935911,157
"GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_DN",7.42623699606503e-22,9.02641425355047e-20,1.21254456769062,-0.580236961844243,-2.75970400410632,191
"GSE42088_2H_VS_24H_LEISHMANIA_INF_DC_UP",7.6526212385619e-22,9.085263121595e-20,1.21254456769062,-0.57702455661976,-2.74542000524068,195
"GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP",2.50717534350952e-21,2.90889321104912e-19,1.19534448258848,-0.57281563392616,-2.72539440939565,195
"ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GT_200_VS_LTE_200_1DY_DN",6.38292986914257e-21,7.24107932932729e-19,1.18665095279281,-0.71191773624385,-3.02184486109498,90
"GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP",2.95068995475813e-20,3.27462439544354e-18,1.16017957183021,-0.563374188275713,-2.68208973368091,194
"GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_DN",4.6603891746731e-20,5.06197590142684e-18,1.16017957183021,-0.559142602443437,-2.66214185998764,192
"GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_UP",6.2177999533818e-20,6.6128893254196e-18,1.15122052214226,-0.57498456640536,-2.713441603007,181
"GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN",1.060488527876e-19,1.10485590506265e-17,1.15122052214226,-0.565859914454412,-2.68228891551308,186
"GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",1.09190984379204e-19,1.11483995051167e-17,1.14219120216838,-0.564560050835279,-2.67744418767402,187
"GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP",1.12558686040894e-19,1.12669037693875e-17,1.14219120216838,-0.555083631493169,-2.64281663520963,192
"GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_DN",1.18942614569918e-19,1.16769624496045e-17,1.14219120216838,-0.61174219386298,-2.80967275505732,142
"GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN",6.10766462589201e-19,5.88294866324127e-17,1.12391496374483,-0.551447521408828,-2.62530972595885,194
"GSE3982_DC_VS_TH1_UP",3.52057832097053e-17,3.3282504312138e-15,1.06720998682811,-0.544730176642646,-2.57414934549831,182
"GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN",3.66146145492259e-17,3.3985019504327e-15,1.06720998682811,-0.599091947501627,-2.73475969160523,135
"GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP",1.47207403400679e-16,1.34195320421512e-14,1.04762648849882,-0.535909852952006,-2.52469095468943,179
"GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_6H_UP",3.44827791259628e-16,3.08832609540421e-14,1.03769615548758,-0.525822437847436,-2.50295016168494,193
"GSE36826_NORMAL_VS_STAPH_AUREUS_INF_SKIN_DN",3.5181981469074e-16,3.09662095516591e-14,1.03769615548758,-0.524862690376949,-2.49944844789023,196
"GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP",4.37714595532434e-16,3.72422168365512e-14,1.03769615548758,-0.536595810342463,-2.54067115795957,184
"GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP",4.30848484229964e-16,3.72422168365512e-14,1.03769615548758,-0.56006226056516,-2.5781076477174,156
"GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_FETAL_UP",8.71076127220912e-16,7.17232843461735e-14,1.02766987054358,-0.527320704083371,-2.4842271596357,179
"HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_28DY_DN",8.60888102341135e-16,7.17232843461735e-14,1.02766987054358,-0.731081443535608,-2.8844327588727,59
"GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP",1.12364952768628e-15,9.10512831561659e-14,1.01754479730988,-0.564693473953721,-2.59200897051514,144
"GSE45365_NK_CELL_VS_CD11B_DC_DN",1.63112668206477e-15,1.30107839249072e-13,1.01754479730988,-0.528988746421371,-2.50465326976782,184
"GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN",2.10325780591679e-15,1.65186632295465e-13,1.00731795687447,-0.517170382251693,-2.46176579526474,193
"GSE3982_DC_VS_TH2_UP",2.86415532710376e-15,2.21538074922192e-13,1.00731795687447,-0.531324836581777,-2.48606529723146,172
"GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN",2.91591717036467e-15,2.22175479921069e-13,1.00731795687447,-0.516399357990249,-2.45608168675434,191
"HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_NEGATIVE",3.15735275660517e-15,2.37033615036315e-13,1.00731795687447,-0.420851098938759,-2.18800636743584,390
"GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP",4.29102192983807e-15,3.12938099311762e-13,0.996986217533181,-0.526049356154446,-2.45808797263979,174
"PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_UP",4.25327164772392e-15,3.12938099311762e-13,0.996986217533181,-0.621626047874335,-2.72491674535686,103
"GSE3337_4H_VS_16H_IFNG_IN_CD8POS_DC_DN",5.4281970775462e-15,3.90295015223569e-13,0.996986217533181,-0.518796415898767,-2.44406892564115,179
"GSE2706_2H_VS_8H_R848_STIM_DC_UP",5.88947671171646e-15,4.1758025851823e-13,0.996986217533181,-0.530709817875837,-2.49039184567389,178
"GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP",6.10842014661824e-15,4.27171025321727e-13,0.996986217533181,-0.510676088794018,-2.42643228131893,189
"GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_DN",7.39426791021846e-15,5.10104563265747e-13,0.986546283587582,-0.561678470916653,-2.57242326536485,143
"GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP",9.46591928031784e-15,6.44313572346968e-13,0.986546283587582,0.498056569525424,2.41417904624484,193
"GSE15767_MED_VS_SCS_MAC_LN_UP",1.23530002142447e-14,8.29764027548936e-13,0.986546283587582,-0.523460089433244,-2.44489397109961,173
"GSE22886_NAIVE_CD8_TCELL_VS_DC_DN",1.49662834829877e-14,9.92245158190291e-13,0.97599468306432,-0.507817498019157,-2.41827754288252,196
"GSE22886_NAIVE_TCELL_VS_DC_DN",3.3412607859944e-14,2.18681234775659e-12,0.965327754226083,-0.502381398349625,-2.39888036039077,197
"GSE360_DC_VS_MAC_T_GONDII_DN",4.09323022427725e-14,2.64505573353612e-12,0.965327754226083,-0.516698346111107,-2.41331229789065,173
"GSE11057_PBMC_VS_MEM_CD4_TCELL_DN",4.61210806262459e-14,2.91552176454965e-12,0.965327754226083,0.496258134880713,2.39962633775904,192
"GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_DN",4.62599927382021e-14,2.91552176454965e-12,0.965327754226083,-0.551212344888305,-2.52648696609091,140
"GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_UP",6.02715490917761e-14,3.75227144040874e-12,0.954541630725724,-0.484475460740352,-2.34751801129655,214
"GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP",1.05716486581718e-13,6.50220077108036e-12,0.954541630725724,-0.505326941866037,-2.39261947595075,184
