"pathway","pval","padj","log2err","ES","NES","size"
"RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN",5.36490142449383e-33,3.18245952500974e-29,1.49547932629977,-0.56926505209746,-2.88236495332276,311
"FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN",3.21173192224128e-29,9.52599688136764e-26,1.40258870935552,-0.498511426278969,-2.61078342744724,428
"RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP",1.35203141417578e-28,2.67341678296358e-25,1.38774608305349,-0.506036858635084,-2.63805299068466,400
"REACTOME_NEUTROPHIL_DEGRANULATION",1.14140842920566e-22,1.69270870051199e-19,1.22950405660873,-0.464750859199394,-2.42839952519697,422
"JIANG_MELANOMA_TRM4",6.93736237605833e-21,8.2304867229556e-18,1.1778932614942,-0.57066269860415,-2.72094499733696,192
"VERHAAK_AML_WITH_NPM1_MUTATED_UP",2.60665993621218e-20,2.57711779026844e-17,1.16906996676109,-0.601169831379867,-2.81210189953339,162
"RUTELLA_RESPONSE_TO_HGF_DN",4.05004473674937e-19,3.43212362548533e-16,1.13308993200902,-0.529109956663766,-2.5863071829328,231
"PUJANA_BRCA2_PCC_NETWORK",7.21214202160685e-19,5.34780330902148e-16,1.12391496374483,0.431896774854643,2.28797394381924,409
"REACTOME_CELL_CYCLE_MITOTIC",1.14546342069826e-17,7.54987667953563e-15,1.0864405425825,0.407754209625147,2.17748521833473,473
"MCLACHLAN_DENTAL_CARIES_UP",2.65065821214087e-17,1.57237045144197e-14,1.07686819261983,-0.507616498854244,-2.48890757813383,237
"BROWN_MYELOID_CELL_DEVELOPMENT_UP",6.16324897479732e-17,3.32367208349979e-14,1.05746357275086,-0.586753413676953,-2.69089577179788,141
"HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN",7.57367432398861e-17,3.50280005440781e-14,1.05746357275086,-0.701004100881765,-2.88623970262075,78
"VERHAAK_GLIOBLASTOMA_MESENCHYMAL",7.67639931006431e-17,3.50280005440781e-14,1.05746357275086,-0.520181316858736,-2.51170127324982,208
"NABA_MATRISOME_ASSOCIATED",1.68217646365598e-16,7.12762198743377e-14,1.04762648849882,-0.435933380333817,-2.24412375403311,362
"WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP",4.98460909795596e-16,1.97124674460498e-13,1.02766987054358,-0.445342173527265,-2.26820028186254,334
"REACTOME_M_PHASE",2.60550687963945e-15,9.65991675626326e-13,1.00731795687447,0.432613613382301,2.24232088487783,328
"NABA_MATRISOME",4.02176012544491e-15,1.40335770965525e-12,0.996986217533181,-0.392784874537925,-2.08129926597186,478
"BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP",1.93888795884376e-14,6.38971298436733e-12,0.97599468306432,-0.574526268955636,-2.58219773062317,129
"NAGASHIMA_NRG1_SIGNALING_UP",6.20285104272659e-14,1.93659538870811e-11,0.954541630725724,-0.523449684252015,-2.4561306706332,165
"LIAN_LIPA_TARGETS_6M",1.20173111183703e-13,3.56433447770863e-11,0.943632225232838,-0.696860424594975,-2.73577882613351,62
"DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_DN",4.96248942831087e-13,1.33806760403364e-10,0.921426003494898,-0.591407271847704,-2.60805792678576,107
"TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP",4.93174464046597e-13,1.33806760403364e-10,0.921426003494898,-0.540078371530682,-2.46775201084229,139
"REACTOME_SIGNALING_BY_GPCR",5.55349991078123e-13,1.43232006394584e-10,0.921426003494898,-0.399966449835669,-2.07481528087604,391
"REACTOME_CELL_CYCLE_CHECKPOINTS",5.84376013916828e-13,1.44438271439776e-10,0.921426003494898,0.445979278641696,2.23819302787881,252
"MARTENS_TRETINOIN_RESPONSE_UP",9.48789169444165e-13,2.25128694125712e-10,0.910119734774459,-0.41013032776673,-2.09743936669561,342
"SHEN_SMARCA2_TARGETS_UP",1.48383976119157e-12,3.38543748591862e-10,0.910119734774459,0.384933448711887,2.04004879243487,413
"JIANG_MELANOMA_TRM1_CD8",1.93651394762979e-12,4.25459286568146e-10,0.898671232061694,-0.50188441542507,-2.36533762121779,174
"WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA",3.03902771964463e-12,6.4383972974757e-10,0.898671232061694,-0.693732214036016,-2.70103956456627,58
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN",4.33781019308284e-12,8.87306553978187e-10,0.887074988399873,-0.502975978604211,-2.36055609733104,166
"HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP",1.06171355442256e-11,2.09936160161153e-09,0.875325132024659,-0.394533037806297,-2.02302396810444,353
"JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",1.1973629511333e-11,2.27918795949453e-09,0.875325132024659,-0.467887750597473,-2.2526416995917,201
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN",1.22950125933623e-11,2.27918795949453e-09,0.875325132024659,-0.544688689284817,-2.41833335824422,118
"MARKEY_RB1_ACUTE_LOF_DN",1.5601809241884e-11,2.80454340675321e-09,0.863415391606693,-0.460393072008975,-2.22281591342352,210
"NAGASHIMA_EGF_SIGNALING_UP",1.85899163550551e-11,3.24339364171138e-09,0.863415391606693,-0.677433996661709,-2.62463510211072,57
"SWEET_LUNG_CANCER_KRAS_UP",2.02244926535686e-11,3.42776258345625e-09,0.863415391606693,-0.380789839487917,-1.98246768412713,408
"LENAOUR_DENDRITIC_CELL_MATURATION_UP",2.26363796760691e-11,3.72997233995672e-09,0.863415391606693,-0.557732412566618,-2.46482606861322,110
"LIAN_LIPA_TARGETS_3M",2.3780500813952e-11,3.81259272509089e-09,0.863415391606693,-0.689352228282521,-2.63457117350843,54
"VALK_AML_CLUSTER_5",3.12250690112474e-11,4.87439761512421e-09,0.851339057116899,-0.790993725364837,-2.69900934767535,31
"GAL_LEUKEMIC_STEM_CELL_DN",3.87905212571525e-11,5.90013774608791e-09,0.851339057116899,-0.456727135777213,-2.19340228213701,204
"TARTE_PLASMA_CELL_VS_PLASMABLAST_UP",4.31868850064807e-11,6.40461504646109e-09,0.851339057116899,-0.411308576881968,-2.06761554574567,289
"ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP",6.33089010466805e-11,9.15971709777826e-09,0.839088935621274,-0.523864018682422,-2.35449718018261,129
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",7.8747440215147e-11,1.11221384608631e-08,0.839088935621274,0.451734158983856,2.21795875964092,211
"DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN",9.90760574813484e-11,1.33572539313491e-08,0.839088935621274,0.394840722650079,2.03776489628517,316
"REACTOME_GPCR_LIGAND_BINDING",9.852377958255e-11,1.33572539313491e-08,0.839088935621274,-0.450725292431583,-2.16457882090577,204
"BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP",1.07247213878956e-10,1.4137566060666e-08,0.839088935621274,-0.465378597790622,-2.21766352360087,191
"ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION",1.29183720070406e-10,1.63046346267585e-08,0.826657301178302,-0.542133613380953,-2.39783728444149,111
"SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6",1.26536597013737e-10,1.63046346267585e-08,0.826657301178302,0.366639135868726,1.94540878292328,411
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",1.40431978464665e-10,1.73550520052582e-08,0.826657301178302,0.40692695855891,2.04797526560973,266
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",1.45573967723607e-10,1.76233627864579e-08,0.826657301178302,0.497917163055921,2.28622523001156,137
"BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP",1.86558431788237e-10,2.21332923473565e-08,0.826657301178302,-0.515740643606125,-2.31798682056904,129
"REACTOME_MRNA_SPLICING",2.42115672778404e-10,2.81613759004214e-08,0.814035837847908,0.434580955013847,2.13314149823511,210
"JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_DN",2.87436482046982e-10,3.2789869451975e-08,0.814035837847908,-0.398530812942949,-2.00724440643932,302
"MULLIGHAN_MLL_SIGNATURE_1_UP",3.35538980986212e-10,3.68595784298187e-08,0.814035837847908,-0.374955876983749,-1.93022013962134,362
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP",3.29960176137254e-10,3.68595784298187e-08,0.814035837847908,-0.402217553772694,-2.02971311502996,286
"ZHANG_BREAST_CANCER_PROGENITORS_UP",3.73877975831046e-10,4.0324439138723e-08,0.814035837847908,0.358608207687458,1.8941003848383,399
"LINDSTEDT_DENDRITIC_CELL_MATURATION_D",5.11005485454609e-10,5.41300810663704e-08,0.801215574617779,-0.634540877412878,-2.48549932706967,59
"DELYS_THYROID_CANCER_UP",5.43074503299071e-10,5.65178588345629e-08,0.801215574617779,-0.384918291751017,-1.97533510977541,350
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",6.378027566476e-10,6.52318267660959e-08,0.801215574617779,0.393180910505968,2.00970847521247,289
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",1.12148527124272e-09,1.12756790322234e-07,0.788186810800237,0.461915799609588,2.20330322421442,166
"NABA_ECM_REGULATORS",1.38156062230733e-09,1.36590293525452e-07,0.788186810800237,-0.504572766570468,-2.26977059755187,126
"MARKEY_RB1_CHRONIC_LOF_DN",2.1202698447166e-09,2.06187552768178e-07,0.774939030136436,-0.537237169199005,-2.33800586025995,100
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",2.17433576491786e-09,2.0803483479827e-07,0.774939030136436,-0.475005720213073,-2.18810706237118,148
"PUJANA_XPRSS_INT_NETWORK",2.5459328344112e-09,2.39721802757576e-07,0.774939030136436,0.457986785957936,2.18456212799302,166
"MULLIGHAN_MLL_SIGNATURE_2_UP",3.03536027861858e-09,2.8133995582446e-07,0.774939030136436,-0.360520890825509,-1.8757652567167,395
"REACTOME_DNA_REPLICATION",3.2617855733838e-09,2.97675569558657e-07,0.774939030136436,0.489131692085626,2.21122440796539,124
"OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP",4.99015071666171e-09,4.48508697746019e-07,0.761460801445585,0.373084567250997,1.92735459221468,317
"PULVER_FOREY_PERTURB_ATTRITION_G2_M",5.27826033770136e-09,4.67322989899172e-07,0.761460801445585,0.330159357334035,1.76911506493822,490
"APPEL_IMATINIB_RESPONSE",5.99705872503648e-09,5.23155181719359e-07,0.761460801445585,-0.748593397341501,-2.55433199056143,31
"ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP",9.28502654040749e-09,7.98243151270974e-07,0.747739663149885,-0.516720648796833,-2.27638004454424,106
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",9.50295585115056e-09,8.0530763012893e-07,0.747739663149885,0.493578948374861,2.22101366650907,119
"WANG_MLL_TARGETS",9.6616100605403e-09,8.07220716607395e-07,0.747739663149885,-0.447934333305263,-2.11107557405362,174
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",9.85995199115777e-09,8.12350489049276e-07,0.747739663149885,0.503735815286966,2.22110433946248,108
"RUTELLA_RESPONSE_TO_HGF_UP",1.30284263536669e-08,1.05869349493085e-06,0.747739663149885,-0.345338208850513,-1.79953771776959,409
"SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP",1.39333467690222e-08,1.11692720316e-06,0.747739663149885,-0.461434220687487,-2.12890821548877,147
"ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF",1.59727211989327e-08,1.26333576202758e-06,0.73376198835648,-0.422907662120235,-2.02320362496941,195
"PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP",1.83452969625156e-08,1.43189870502161e-06,0.73376198835648,-0.632495870583084,-2.39728753081247,52
"REACTOME_MITOTIC_PROMETAPHASE",2.12872201411236e-08,1.63994532307981e-06,0.73376198835648,0.421859106893605,2.0453990329322,189
"REACTOME_S_PHASE",2.42743805076859e-08,1.84609775861016e-06,0.73376198835648,0.449766729161599,2.11534436619057,149
"REACTOME_DNA_REPLICATION_PRE_INITIATION",2.8965304870549e-08,2.17496441129236e-06,0.73376198835648,0.522715004544624,2.22057465709923,89
"DAZARD_UV_RESPONSE_CLUSTER_G6",3.26816657224714e-08,2.42334551332126e-06,0.719512826338911,0.469190603706983,2.14094683348764,130
"ENK_UV_RESPONSE_KERATINOCYTE_UP",3.44659621379069e-08,2.52409984446992e-06,0.719512826338911,-0.332576892018899,-1.74901433574226,452
"GERY_CEBP_TARGETS",3.66655963706288e-08,2.65244289842159e-06,0.719512826338911,-0.511954540337889,-2.25767784848277,107
"HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP",3.81698233356643e-08,2.72799267502603e-06,0.719512826338911,-0.614638931397213,-2.38134330786256,57
"FIGAROL_EGFR_TKI_DRUG_TOLERANT_CELL_DN",3.88960046418788e-08,2.74679880399553e-06,0.719512826338911,0.324362544837907,1.73537221871944,469
"KEGG_LYSOSOME",3.99222917631945e-08,2.78610629105024e-06,0.719512826338911,-0.491819254923795,-2.1859104045424,113
"ROSS_AML_WITH_CBFB_MYH11_FUSION",4.33096137780616e-08,2.98735615036583e-06,0.719512826338911,-0.636337140855015,-2.39085506851546,50
"CHYLA_CBFA2T3_TARGETS_UP",4.47944932594391e-08,3.05426360936773e-06,0.719512826338911,-0.369203904978685,-1.86751526285448,306
"UNTERMAN_IPF_VS_CTRL_B_CELL_DN",4.66890027843871e-08,3.14726323314755e-06,0.719512826338911,-0.701617229095876,-2.41413609100366,34
"ROSS_AML_WITH_MLL_FUSIONS",5.34504014515073e-08,3.56255934168923e-06,0.719512826338911,-0.561316062551313,-2.2696467006995,72
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS",5.56187747355441e-08,3.6658952414583e-06,0.719512826338911,0.577242136413744,2.31413800509851,64
"DIRMEIER_LMP1_RESPONSE_EARLY",5.65046202676331e-08,3.68335612557802e-06,0.719512826338911,-0.588270503898701,-2.30425807638517,59
"OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP",6.41490365279788e-08,4.13621831178229e-06,0.704975715167238,-0.414175709313754,-1.98522800893679,197
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",7.04500468180284e-08,4.49365244865101e-06,0.704975715167238,0.443600776644134,2.07978599302648,148
"MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN",8.03102729950541e-08,5.06809084475171e-06,0.704975715167238,0.429168308468631,2.04710018271467,166
"RIGGI_EWING_SARCOMA_PROGENITOR_UP",8.30677095374542e-08,5.18692266290714e-06,0.704975715167238,-0.363038144467229,-1.82929767384,295
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS",8.7213074682843e-08,5.38904123977734e-06,0.704975715167238,-0.428542685649103,-2.02795983672909,175
"REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE",9.06218137743187e-08,5.54194432277586e-06,0.704975715167238,0.528793396281336,2.19197065226228,79
"STEARMAN_TUMOR_FIELD_EFFECT_UP",9.30746458937062e-08,5.63386530042311e-06,0.704975715167238,-0.694745203983325,-2.38744076684926,33
"MANALO_HYPOXIA_DN",1.01247363987265e-07,6.06666023406519e-06,0.704975715167238,0.368830097427583,1.86885080291008,276
"JOHNSTONE_PARVB_TARGETS_3_UP",1.16523991133872e-07,6.9122031540613e-06,0.704975715167238,-0.339920785322498,-1.76332999921436,391
